Cannel, CC, Regler, Midi range

Selected, 0, Expression Pedal Function CTR, 0-127
Selected, 1, Poti Function CTR, 0- 127
Selected, 2, Function Footswitch CTR, 0-127
Selected, 3, Analog Circuit Instrument Gain, 0-127
Selected, 4, Mixer Instrument Input To Synth Frequency - and Envelope - tracking, 0-127
Selected, 5, Mixer Usb Input 1 To Synth Frequency - and Envelope - tracking, 0-127
Selected, 6, Mixer Synth To Output 1, 0-127
Selected, 7, Mixer Synth To Output 2, 0-127
Selected, 8, Mixer Synth To Usb Output 1, 0-127
Selected, 9, Mixer Synth To Usb Output 2, 0-127
Selected, 10, Mixer Instrument To Usb-OutPut 1, 0-127
Selected, 11, Mixer Instrument To Usb-OutPut 2, 0-127
Selected, 12, Mixer Usb Input 1 To Output 1, 0-127
Selected, 13, Mixer Usb Input 1 To Output 2, 0-127
Selected, 14, Mixer Usb Input 2 To Output 1, 0-127
Selected, 15, Mixer Usb Input 2 To Output 2, 0-127
Selected, 16, Filter 1 Dynamic Filter Frequency Target, 0 - 4
Selected, 17, Filter 2 Dynamic Filter Frequency Target, 0 - 4
Selected, 18, Filter Lfo Cycles, 0-127
Selected, 19, Mod Lfo cycles, 0-127
Selected, 20, OSC Main Volumen, 0-127
Selected, 21, Filter 1 Freq, 0-127
Selected, 22, Filter 1 Resonance, 0-127
Selected, 23, Filter 1 Octave74, 0-127
Selected, 24, Filter 2 Freq, 0-127
Selected, 25, Filter 2 Resonance, 0-127
Selected, 26, Filter 2 Octave, 0-127
Selected, 27, Filter 2 Type, 1-3
Selected, 28, Filter 1<->2 Blend, 0-127
Selected, 29, Filter 1<->2 Crossover Mod, 0-1
Selected, 30, Guitar Envelope Sensing Attack, 0-127
Selected, 31, Guitar Envelope Sensing release, 0-127
Selected, 32, Guitar Sense Note Off Corner, 0-127
Selected, 33, Guitar Sense Pitch detection treshold, 0-127
Selected, 34, Guitar Sense Pitch detection Quality, 0-127
Selected, 35, OSC1 Volumen, 0-127
Selected, 36, OSC1 WaveForm, 0-15
Selected, 37, OSC1 PulseWidth, 0-127
Selected, 38, OSC1 Octave, 0-8
Selected, 39, OSC1 Note, 0-24
Selected, 40, OSC1 CENTS, 0-24
Selected, 41, OSC1 Phase, 0-127
Selected, 42, OSC2 Volumen, 0-127
Selected, 43, OSC2 WaveForm, 0-5
Selected, 44, OSC2 PulseWidth, 0-127
Selected, 45, OSC2 Octave, 0-8
Selected, 46, OSC2 Note, 0-24
Selected, 47, OSC2 CENTS, 0-24
Selected, 48, OSC2 Phase, 0-127
Selected, 49, Sub-OSC1 Volumen, 0-127
Selected, 50, Sub-OSC1 WaveForm, 0-5
Selected, 51, Sub-OSC1 PulseWidth, 0-127
Selected, 52, Sub-OSC1 Octave, 0-8
Selected, 53, Sub-OSC1 Note, 0-24
